parent_id	account_id	system	account_kind	evidence_locator	qualifying_evidence	parent_title	paper_path	pdf_sha256	text_sha256	resolution_kind	target_id	target_disposition_code	target_disposition	target_artifact_status
2501.03940	2501.03940:ens-2gpt2	PAWN ensemble 2 GPT-2	primary_result	Primary PDF full text and all main/appendix result tables	Table 8: the two-GPT-2 PAWN ensemble reports 0.983 AUROC in-distribution and 0.943 on the wilderness testbeds.	Not all tokens are created equal: Perplexity Attention Weighted Networks for AI generated text detection	papers/canonical_pawn_2501.03940.pdf	a91ac475ffed4f5a702f98a8fc9acbf6fea0bd03b1e413002dd58179ef957152	0f275dc5864d2b84cb81898bd52d10dd64146522d34cb9ac6d18197fb8bc72db	primary_result	2501.03940:ens-2gpt2	retain_reject	PAWN with the named backbone, branch-only ablation, or averaged-logit ensemble. The released supervised detector remains below the accuracy-first evidence threshold and lacks the fixed full deployment comparison.	The released supervised detector remains below the accuracy-first evidence threshold and lacks the fixed full deployment comparison.
2501.03940	2501.03940:ens-2gpt2-2llama	PAWN ensemble 2 GPT-2 + 2 Llama	primary_result	Primary PDF full text and all main/appendix result tables	Tables 4-12; the fitted and prior comparator states, M4 baselines, every PAWN/branch/ensemble, the MAGE-pretrained states, and the separately one-epoch RAID-fitted states have a threshold metric >=0.90 on a reported slice; PAWN paraphrase AUROC is 0.528-0.755 and RAID uses per-domain 5% FPR thresholds	Not all tokens are created equal: Perplexity Attention Weighted Networks for AI generated text detection	papers/canonical_pawn_2501.03940.pdf	a91ac475ffed4f5a702f98a8fc9acbf6fea0bd03b1e413002dd58179ef957152	0f275dc5864d2b84cb81898bd52d10dd64146522d34cb9ac6d18197fb8bc72db	primary_result	2501.03940:ens-2gpt2-2llama	retain_reject	PAWN with the named backbone, branch-only ablation, or averaged-logit ensemble. The released supervised detector remains below the accuracy-first evidence threshold and lacks the fixed full deployment comparison.	The released supervised detector remains below the accuracy-first evidence threshold and lacks the fixed full deployment comparison.
2501.03940	2501.03940:ens-2llama	PAWN ensemble 2 Llama	primary_result	Primary PDF full text and all main/appendix result tables	Tables 4-12; the fitted and prior comparator states, M4 baselines, every PAWN/branch/ensemble, the MAGE-pretrained states, and the separately one-epoch RAID-fitted states have a threshold metric >=0.90 on a reported slice; PAWN paraphrase AUROC is 0.528-0.755 and RAID uses per-domain 5% FPR thresholds	Not all tokens are created equal: Perplexity Attention Weighted Networks for AI generated text detection	papers/canonical_pawn_2501.03940.pdf	a91ac475ffed4f5a702f98a8fc9acbf6fea0bd03b1e413002dd58179ef957152	0f275dc5864d2b84cb81898bd52d10dd64146522d34cb9ac6d18197fb8bc72db	primary_result	2501.03940:ens-2llama	retain_reject	PAWN with the named backbone, branch-only ablation, or averaged-logit ensemble. The released supervised detector remains below the accuracy-first evidence threshold and lacks the fixed full deployment comparison.	The released supervised detector remains below the accuracy-first evidence threshold and lacks the fixed full deployment comparison.
2501.03940	2501.03940:ens-gpt2-llama	PAWN ensemble 1 GPT-2 + 1 Llama	primary_result	Primary PDF full text and all main/appendix result tables	Tables 4-12; the fitted and prior comparator states, M4 baselines, every PAWN/branch/ensemble, the MAGE-pretrained states, and the separately one-epoch RAID-fitted states have a threshold metric >=0.90 on a reported slice; PAWN paraphrase AUROC is 0.528-0.755 and RAID uses per-domain 5% FPR thresholds	Not all tokens are created equal: Perplexity Attention Weighted Networks for AI generated text detection	papers/canonical_pawn_2501.03940.pdf	a91ac475ffed4f5a702f98a8fc9acbf6fea0bd03b1e413002dd58179ef957152	0f275dc5864d2b84cb81898bd52d10dd64146522d34cb9ac6d18197fb8bc72db	primary_result	2501.03940:ens-gpt2-llama	retain_reject	PAWN with the named backbone, branch-only ablation, or averaged-logit ensemble. The released supervised detector remains below the accuracy-first evidence threshold and lacks the fixed full deployment comparison.	The released supervised detector remains below the accuracy-first evidence threshold and lacks the fixed full deployment comparison.
2501.03940	2501.03940:ens-gpt2-llama-qwen	PAWN ensemble GPT-2 + Llama + Qwen	primary_result	Primary PDF full text and all main/appendix result tables	Tables 4-12; the fitted and prior comparator states, M4 baselines, every PAWN/branch/ensemble, the MAGE-pretrained states, and the separately one-epoch RAID-fitted states have a threshold metric >=0.90 on a reported slice; PAWN paraphrase AUROC is 0.528-0.755 and RAID uses per-domain 5% FPR thresholds	Not all tokens are created equal: Perplexity Attention Weighted Networks for AI generated text detection	papers/canonical_pawn_2501.03940.pdf	a91ac475ffed4f5a702f98a8fc9acbf6fea0bd03b1e413002dd58179ef957152	0f275dc5864d2b84cb81898bd52d10dd64146522d34cb9ac6d18197fb8bc72db	primary_result	2501.03940:ens-gpt2-llama-qwen	retain_reject	PAWN with the named backbone, branch-only ablation, or averaged-logit ensemble. The released supervised detector remains below the accuracy-first evidence threshold and lacks the fixed full deployment comparison.	The released supervised detector remains below the accuracy-first evidence threshold and lacks the fixed full deployment comparison.
2501.03940	2501.03940:gltr	GLTR comparator	primary_result	Primary PDF full text and all main/appendix result tables	Tables 4-12; the fitted and prior comparator states, M4 baselines, every PAWN/branch/ensemble, the MAGE-pretrained states, and the separately one-epoch RAID-fitted states have a threshold metric >=0.90 on a reported slice; PAWN paraphrase AUROC is 0.528-0.755 and RAID uses per-domain 5% FPR thresholds	Not all tokens are created equal: Perplexity Attention Weighted Networks for AI generated text detection	papers/canonical_pawn_2501.03940.pdf	a91ac475ffed4f5a702f98a8fc9acbf6fea0bd03b1e413002dd58179ef957152	0f275dc5864d2b84cb81898bd52d10dd64146522d34cb9ac6d18197fb8bc72db	primary_result	2501.03940:gltr	retain_reject	the GLTR token-rank-bin heuristic detector. This separately named PAWN-table state crosses 0.90 on at least one reported slice, but the paper supplies no exact frozen state with transferable low-FPR, cross-distribution, and fixed two-A6000 near-Binoculars evidence.	This separately named PAWN-table state crosses 0.90 on at least one reported slice, but the paper supplies no exact frozen state with transferable low-FPR, cross-distribution, and fixed two-A6000 near-Binoculars evidence.
2501.03940	2501.03940:gpt2	PAWN GPT-2	primary_result	Primary PDF full text and all main/appendix result tables	Tables 4-12; the fitted and prior comparator states, M4 baselines, every PAWN/branch/ensemble, the MAGE-pretrained states, and the separately one-epoch RAID-fitted states have a threshold metric >=0.90 on a reported slice; PAWN paraphrase AUROC is 0.528-0.755 and RAID uses per-domain 5% FPR thresholds	Not all tokens are created equal: Perplexity Attention Weighted Networks for AI generated text detection	papers/canonical_pawn_2501.03940.pdf	a91ac475ffed4f5a702f98a8fc9acbf6fea0bd03b1e413002dd58179ef957152	0f275dc5864d2b84cb81898bd52d10dd64146522d34cb9ac6d18197fb8bc72db	primary_result	2501.03940:gpt2	retain_reject	PAWN with the named backbone, branch-only ablation, or averaged-logit ensemble. The released supervised detector remains below the accuracy-first evidence threshold and lacks the fixed full deployment comparison.	The released supervised detector remains below the accuracy-first evidence threshold and lacks the fixed full deployment comparison.
2501.03940	2501.03940:hsff-gpt2	HSFF GPT-2 ablation	primary_result	Primary PDF full text and all main/appendix result tables	Tables 4-12; the fitted and prior comparator states, M4 baselines, every PAWN/branch/ensemble, the MAGE-pretrained states, and the separately one-epoch RAID-fitted states have a threshold metric >=0.90 on a reported slice; PAWN paraphrase AUROC is 0.528-0.755 and RAID uses per-domain 5% FPR thresholds	Not all tokens are created equal: Perplexity Attention Weighted Networks for AI generated text detection	papers/canonical_pawn_2501.03940.pdf	a91ac475ffed4f5a702f98a8fc9acbf6fea0bd03b1e413002dd58179ef957152	0f275dc5864d2b84cb81898bd52d10dd64146522d34cb9ac6d18197fb8bc72db	primary_result	2501.03940:hsff-gpt2	retain_reject	PAWN with the named backbone, branch-only ablation, or averaged-logit ensemble. The released supervised detector remains below the accuracy-first evidence threshold and lacks the fixed full deployment comparison.	The released supervised detector remains below the accuracy-first evidence threshold and lacks the fixed full deployment comparison.
2501.03940	2501.03940:hsff-llama31-1b	HSFF Llama-3.1-1B ablation	primary_result	Primary PDF full text and all main/appendix result tables	Tables 4-12; the fitted and prior comparator states, M4 baselines, every PAWN/branch/ensemble, the MAGE-pretrained states, and the separately one-epoch RAID-fitted states have a threshold metric >=0.90 on a reported slice; PAWN paraphrase AUROC is 0.528-0.755 and RAID uses per-domain 5% FPR thresholds	Not all tokens are created equal: Perplexity Attention Weighted Networks for AI generated text detection	papers/canonical_pawn_2501.03940.pdf	a91ac475ffed4f5a702f98a8fc9acbf6fea0bd03b1e413002dd58179ef957152	0f275dc5864d2b84cb81898bd52d10dd64146522d34cb9ac6d18197fb8bc72db	primary_result	2501.03940:hsff-llama31-1b	retain_reject	PAWN with the named backbone, branch-only ablation, or averaged-logit ensemble. The released supervised detector remains below the accuracy-first evidence threshold and lacks the fixed full deployment comparison.	The released supervised detector remains below the accuracy-first evidence threshold and lacks the fixed full deployment comparison.
2501.03940	2501.03940:llama31-1b	PAWN Llama-3.1-1B	primary_result	Primary PDF full text and all main/appendix result tables	Tables 4-12; the fitted and prior comparator states, M4 baselines, every PAWN/branch/ensemble, the MAGE-pretrained states, and the separately one-epoch RAID-fitted states have a threshold metric >=0.90 on a reported slice; PAWN paraphrase AUROC is 0.528-0.755 and RAID uses per-domain 5% FPR thresholds	Not all tokens are created equal: Perplexity Attention Weighted Networks for AI generated text detection	papers/canonical_pawn_2501.03940.pdf	a91ac475ffed4f5a702f98a8fc9acbf6fea0bd03b1e413002dd58179ef957152	0f275dc5864d2b84cb81898bd52d10dd64146522d34cb9ac6d18197fb8bc72db	primary_result	2501.03940:llama31-1b	retain_reject	PAWN with the named backbone, branch-only ablation, or averaged-logit ensemble. The released supervised detector remains below the accuracy-first evidence threshold and lacks the fixed full deployment comparison.	The released supervised detector remains below the accuracy-first evidence threshold and lacks the fixed full deployment comparison.
